customer_id,segment,base_refund_rate
CUST_00001,normal,0.013495437291500966
CUST_00002,suspicious,0.501170842472484
CUST_00003,normal,0.06790873252646842
CUST_00004,normal,0.03575656484427869
CUST_00005,normal,0.040043050435802176
CUST_00006,normal,0.024100328234910928
CUST_00007,normal,0.0868180243108129
CUST_00008,occasional_refunder,0.05151769470975457
CUST_00009,normal,0.020661069983594148
CUST_00010,normal,0.07324310015819681
CUST_00011,normal,0.03242290029638405
CUST_00012,suspicious,0.07444792426218746
CUST_00013,normal,0.00538585122529677
CUST_00014,normal,0.010888102034355716
CUST_00015,normal,0.0827058117464789
CUST_00016,normal,0.09002845038149697
CUST_00017,normal,0.07773192827190203
CUST_00018,normal,0.052167476222161675
CUST_00019,normal,0.021204493736788982
CUST_00020,normal,0.09431140764088437
CUST_00021,normal,0.10846395761912174
CUST_00022,normal,0.04619010036590853
CUST_00023,normal,0.017315492017782232
CUST_00024,normal,0.022515133408284496
CUST_00025,normal,0.03239635334874036
CUST_00026,normal,0.06240877843571367
CUST_00027,normal,0.05262982184278089
CUST_00028,normal,0.0983530377587722
CUST_00029,normal,0.018097966039061684
CUST_00030,normal,0.06620573455734456
CUST_00031,normal,0.048620861570513436
CUST_00032,normal,0.09322237107460289
CUST_00033,normal,0.030537192711190944
CUST_00034,suspicious,0.37069588479607796
CUST_00035,suspicious,0.35974496514612975
CUST_00036,normal,0.13165457480937479
CUST_00037,normal,0.008480337146584936
CUST_00038,normal,0.016412936363871717
CUST_00039,normal,0.026091047771312804
CUST_00040,normal,0.02611420472136471
CUST_00041,normal,0.030446523746402485
CUST_00042,normal,0.04051822921164392
CUST_00043,normal,0.07543962120565884
CUST_00044,occasional_refunder,0.06623775827532728
CUST_00045,normal,0.03563059734893468
CUST_00046,normal,0.05093171974349413
CUST_00047,normal,0.06162248564022933
CUST_00048,normal,0.009258106582102618
CUST_00049,normal,0.08320333615798892
CUST_00050,normal,0.04991320654812445
CUST_00051,suspicious,0.3785954125657236
CUST_00052,normal,0.03602944541611006
CUST_00053,suspicious,0.22737321943404842
CUST_00054,occasional_refunder,0.055935276472378066
CUST_00055,normal,0.06773088103153535
CUST_00056,occasional_refunder,0.06648848803264076
CUST_00057,normal,0.03167436041755155
CUST_00058,normal,0.07987167375533233
CUST_00059,normal,0.0029896755104844336
CUST_00060,normal,0.023130695159701252
CUST_00061,normal,0.03913863223547608
CUST_00062,normal,0.028045603754057787
CUST_00063,normal,0.02209946495672113
CUST_00064,normal,0.03833573767894162
CUST_00065,normal,0.06153648197471224
CUST_00066,normal,0.09482352542484249
CUST_00067,normal,0.03382982392955601
CUST_00068,normal,0.04225647597119081
CUST_00069,normal,0.019118231186210352
CUST_00070,aggressive_abuser,0.6503295515672656
CUST_00071,normal,0.09195019449038838
CUST_00072,normal,0.060604701673534475
CUST_00073,normal,0.03978591568042843
CUST_00074,normal,0.06204769572932753
CUST_00075,normal,0.03583685893228482
